,text,entityTag
567,threw,1
568,the,1
569,sheet,1
570,of,1
571,paper,1
572,into,1
573,the,1
574,audience,1
575,",",1
576,where,1
577,it,1
578,was,1
579,retrieved,1
580,by,1
581,a,1
582,fan,1
583,.,1
584,Buyers,1
585,also,1
586,snapped,1
587,up,1
588,16,1
589,other,1
590,items,1
591,that,1
592,were,1
593,put,1
594,up,1
595,for,1
596,auction,1
597,by,1
598,Hendrix,3
599,'s,1
600,former,1
601,girlfriend,1
602,Kathy,3
603,Etchingham,3
604,",",1
605,who,1
606,lived,1
607,with,1
608,him,1
609,from,1
610,1966,1
611,to,1
612,1969,1
613,.,1
614,They,1
615,included,1
616,a,1
617,black,1
618,lacquer,1
619,and,1
620,mother,1
621,of,1
622,pearl,1
623,inlaid,1
624,box,1
625,used,1
626,by,1
627,Hendrix,3
628,to,1
629,store,1
630,his,1
631,drugs,1
632,",",1
633,which,1
634,an,1
635,anonymous,1
636,Australian,2
637,purchaser,1
638,bought,1
639,for,1
640,"5,060",1
641,pounds,1
642,(,1
643,$,1
644,"7,845",1
645,),1
646,.,1
647,The,1
648,guitarist,1
649,died,1
650,of,1
651,a,1
652,drugs,1
653,overdose,1
654,in,1
655,1970,1
656,aged,1
657,27,1
658,.,1
659,-DOCSTART-,1
660,China,4
661,says,1
662,Taiwan,4
663,spoils,1
664,atmosphere,1
665,for,1
666,talks,1
667,.,1
668,BEIJING,4
669,1996-08-22,1
670,China,4
671,on,1
672,Thursday,1
673,accused,1
674,Taipei,4
675,of,1
676,spoiling,1
677,the,1
678,atmosphere,1
679,for,1
680,a,1
681,resumption,1
682,of,1
683,talks,1
684,across,1
685,the,1
686,Taiwan,4
687,Strait,4
688,with,1
689,a,1
690,visit,1
691,to,1
692,Ukraine,4
693,by,1
694,Taiwanese,2
695,Vice,1
696,President,1
697,Lien,3
698,Chan,3
699,this,1
700,week,1
701,that,1
702,infuriated,1
703,Beijing,4
704,.,1
705,Speaking,1
706,only,1
707,hours,1
708,after,1
709,Chinese,2
710,state,1
711,media,1
712,said,1
713,the,1
714,time,1
715,was,1
716,right,1
717,to,1
718,engage,1
719,in,1
720,political,1
721,talks,1
722,with,1
723,Taiwan,4
724,",",1
725,Foreign,0
726,Ministry,0
727,spokesman,1
728,Shen,3
729,Guofang,3
730,told,1
731,Reuters,0
732,:,1
733, ,5
734,The,1
735,necessary,1
736,atmosphere,1
737,for,1
738,the,1
739,opening,1
740,of,1
741,the,1
742,talks,1
743,has,1
744,been,1
745,disrupted,1
746,by,1
747,the,1
748,Taiwan,4
749,authorities,1
750,.,1
751, ,5
752,State,1
753,media,1
754,quoted,1
755,China,4
756,'s,1
757,top,1
758,negotiator,1
759,with,1
760,Taipei,4
761,",",1
762,Tang,3
763,Shubei,3
764,",",1
765,as,1
766,telling,1
767,a,1
768,visiting,1
769,group,1
770,from,1
771,Taiwan,4
772,on,1
773,Wednesday,1
774,that,1
775,it,1
776,was,1
777,time,1
778,for,1
779,the,1
780,rivals,1
781,to,1
782,hold,1
783,political,1
784,talks,1
785,.,1
786, ,5
787,Now,1
788,is,1
789,the,1
790,time,1
791,for,1
792,the,1
793,two,1
794,sides,1
795,to,1
796,engage,1
797,in,1
798,political,1
799,talks,1
800,...,1
801,that,1
802,is,1
803,to,1
804,end,1
805,the,1
806,state,1
807,of,1
808,hostility,1
809,",",1
810, ,5
811,Thursday,1
812,'s,1
813,overseas,1
814,edition,1
815,of,1
816,the,1
817,People,0
818,'s,0
819,Daily,0
820,quoted,1
821,Tang,3
822,as,1
823,saying,1
824,.,1
825,The,1
826,foreign,1
827,ministry,1
828,'s,1
829,Shen,0
830,told,1
831,Reuters,0
832,Television,0
833,in,1
834,an,1
835,interview,1
836,he,1
837,had,1
838,read,1
839,reports,1
840,of,1
841,Tang,3
842,'s,1
843,comments,1
844,but,1
845,gave,1
846,no,1
847,details,1
848,of,1
849,why,1
850,the,1
851,negotiator,1
852,had,1
853,considered,1
854,the,1
855,time,1
856,right,1
857,for,1
858,talks,1
859,with,1
860,Taiwan,4
861,",",1
862,which,1
863,Beijing,4
864,considers,1
865,a,1
866,renegade,1
867,province,1
868,.,1
869,China,4
870,",",1
871,which,1
872,has,1
873,long,1
874,opposed,1
875,all,1
876,Taipei,4
877,efforts,1
878,to,1
879,gain,1
880,greater,1
881,international,1
882,recognition,1
883,",",1
884,was,1
885,infuriated,1
886,by,1
887,a,1
888,visit,1
889,to,1
890,Ukraine,4
891,this,1
892,week,1
893,by,1
894,Taiwanese,2
895,Vice,1
896,President,1
897,Lien,3
898,.,1
899,-DOCSTART-,1
900,China,4
901,says,1
902,time,1
903,right,1
904,for,1
905,Taiwan,4
906,talks,1
907,.,1
908,BEIJING,4
909,1996-08-22,1
910,China,4
911,has,1
912,said,1
913,it,1
914,was,1
915,time,1
916,for,1
917,political,1
918,talks,1
919,with,1
920,Taiwan,4
921,and,1
922,that,1
923,the,1
924,rival,1
925,island,1
926,should,1
927,take,1
928,practical,1
929,steps,1
930,towards,1
931,that,1
932,goal,1
933,.,1
934,Consultations,1
935,should,1
936,be,1
937,held,1
938,to,1
939,set,1
940,the,1
941,time,1
942,and,1
943,format,1
944,of,1
945,the,1
946,talks,1
947,",",1
948,the,1
949,official,1
950,Xinhua,0
951,news,1
952,agency,1
953,quoted,1
954,Tang,3
955,Shubei,3
956,",",1
957,executive,1
958,vice,1
959,chairman,1
960,of,1
961,the,1
962,Association,0
963,for,0
964,Relations,0
965,Across,0
966,the,0
967,Taiwan,0
968,Straits,0
969,",",1
970,as,1
971,saying,1
972,late,1
973,on,1
974,Wednesday,1
975,.,1
976,-DOCSTART-,1
977,German,2
978,July,1
979,car,1
980,registrations,1
981,up,1
982,14.2,1
983,pct,1
984,yr,1
985,/,1
986,yr,1
987,.,1
988,FRANKFURT,4
989,1996-08-22,1
990,German,2
991,first-time,1
992,registrations,1
993,of,1
994,motor,1
995,vehicles,1
996,jumped,1
997,14.2,1
998,percent,1
999,in,1
1000,July,1
1001,this,1
1002,year,1
1003,from,1
1004,the,1
1005,year-earlier,1
1006,period,1
1007,",",1
1008,the,1
1009,Federal,0
1010,office,0
1011,for,0
1012,motor,0
1013,vehicles,0
1014,said,1
1015,on,1
1016,Thursday,1
1017,.,1
1018,The,1
1019,office,1
1020,said,1
1021,"356,725",1
1022,new,1
1023,cars,1
1024,were,1
1025,registered,1
1026,in,1
1027,July,1
1028,1996,1
1029,--,1
1030,"304,850",1
1031,passenger,1
1032,cars,1
1033,and,1
1034,"15,613",1
1035,trucks,1
1036,.,1
1037,The,1
1038,figures,1
1039,represent,1
1040,a,1
1041,13.6,1
1042,percent,1
1043,increase,1
1044,for,1
1045,passenger,1
1046,cars,1
1047,and,1
1048,a,1
1049,2.2,1
1050,percent,1
1051,decline,1
1052,for,1
1053,trucks,1
1054,from,1
1055,July,1
1056,1995,1
1057,.,1
1058,Motor-bike,1
1059,registration,1
1060,rose,1
1061,32.7,1
1062,percent,1
1063,in,1
1064,the,1
1065,period,1
1066,.,1
1067,The,1
1068,growth,1
1069,was,1
1070,partly,1
1071,due,1
1072,to,1
1073,an,1
1074,increased,1
1075,number,1
1076,of,1
1077,Germans,2
1078,buying,1
1079,German,2
1080,cars,1
1081,abroad,1
1082,",",1
1083,while,1
1084,manufacturers,1
1085,said,1
1086,that,1
1087,domestic,1
1088,demand,1
1089,was,1
1090,weak,1
1091,",",1
1092,the,1
1093,federal,1
1094,office,1
1095,said,1
1096,.,1
1097,Almost,1
1098,all,1
1099,German,2
1100,car,1
1101,manufacturers,1
1102,posted,1
1103,gains,1
1104,in,1
1105,registration,1
1106,numbers,1
1107,in,1
1108,the,1
1109,period,1
1110,.,1
1111,Volkswagen,0
1112,AG,0
1113,won,1
1114,"77,719",1
1115,registrations,1
1116,",",1
1117,slightly,1
1118,more,1
1119,than,1
1120,a,1
1121,quarter,1
1122,of,1
1123,the,1
1124,total,1
1125,.,1
1126,Opel,0
1127,AG,0
1128,together,1
1129,with,1
1130,General,0
1131,Motors,0
1132,came,1
1133,in,1
1134,second,1
1135,place,1
1136,with,1
1137,"49,269",1
1138,registrations,1
1139,",",1
1140,16.4,1
1141,percent,1
1142,of,1
1143,the,1
1144,overall,1
1145,figure,1
1146,.,1
1147,Third,1
1148,was,1
1149,Ford,0
1150,with,1
1151,"35,563",1
1152,registrations,1
1153,",",1
1154,or,1
1155,11.7,1
1156,percent,1
1157,.,1
1158,Only,1
1159,Seat,0
1160,and,1
1161,Porsche,0
1162,had,1
1163,fewer,1
1164,registrations,1
1165,in,1
1166,July,1
1167,1996,1
1168,compared,1
1169,to,1
1170,last,1
1171,year,1
1172,'s,1
1173,July,1
1174,.,1
1175,Seat,0
1176,posted,1
1177,"3,420",1
1178,registrations,1
1179,compared,1
1180,with,1
1181,5522,1
1182,registrations,1
1183,in,1
1184,July,1
1185,a,1
1186,year,1
1187,earlier,1
1188,.,1
1189,Porsche,0
1190,'s,1
1191,registrations,1
1192,fell,1
1193,to,1
1194,554,1
1195,from,1
1196,643,1
1197,.,1
1198,-DOCSTART-,1
1199,GREEK,2
1200,SOCIALISTS,1
1201,GIVE,1
1202,GREEN,1
1203,LIGHT,1
1204,TO,1
1205,PM,1
1206,FOR,1
1207,ELECTIONS,1
1208,.,1
1209,ATHENS,4
1210,1996-08-22,1
1211,The,1
1212,Greek,2
1213,socialist,1
1214,party,1
1215,'s,1
1216,executive,1
1217,bureau,1
1218,gave,1
1219,the,1
1220,green,1
1221,light,1
1222,to,1
1223,Prime,1
1224,Minister,1
1225,Costas,3
1226,Simitis,3
1227,to,1
1228,call,1
1229,snap,1
1230,elections,1
1231,",",1
1232,its,1
1233,general,1
1234,secretary,1
1235,Costas,3
1236,Skandalidis,3
1237,told,1
1238,reporters,1
1239,.,1
1240,Prime,1
1241,Minister,1
1242,Costas,3
1243,Simitis,3
1244,is,1
1245,going,1
1246,to,1
1247,make,1
1248,an,1
1249,official,1
1250,announcement,1
1251,after,1
1252,a,1
1253,cabinet,1
1254,meeting,1
1255,later,1
1256,on,1
1257,Thursday,1
1258,",",1
1259,said,1
1260,Skandalidis,3
1261,.,1
1262,--,1
1263,Dimitris,3
1264,Kontogiannis,3
1265,",",1
1266,Athens,0
1267,Newsroom,0
1268,+301,1
1269,3311812-4,1
1270,-DOCSTART-,1
1271,BayerVB,0
1272,sets,1
1273,C$,2
1274,100,1
1275,million,1
1276,six-year,1
1277,bond,1
1278,.,1
1279,LONDON,4
1280,1996-08-22,1
1281,The,1
1282,following,1
1283,bond,1
1284,was,1
1285,announced,1
1286,by,1
1287,lead,1
1288,manager,1
1289,Toronto,3
1290,Dominion,3
1291,.,1
1292,BORROWER,1
1293,BAYERISCHE,0
1294,VEREINSBANK,0
1295,AMT,1
1296,C$,2
1297,100,1
1298,MLN,1
1299,COUPON,1
1300,6.625,1
1301,MATURITY,1
1302,24.SEP.02,1
1303,TYPE,1
1304,STRAIGHT,1
1305,ISS,1
1306,PRICE,1
1307,100.92,1
1308,PAY,1
1309,DATE,1
1310,24.SEP.96,1
1311,FULL,1
1312,FEES,1
1313,1.875,1
1314,REOFFER,1
1315,99.32,1
1316,SPREAD,1
1317,+20,1
1318,BP,1
1319,MOODY,1
1320,AA1,1
1321,LISTING,1
1322,LUX,1
1323,PAY,1
1324,FREQ,1
1325,=,1
1326,S&P,0
1327,=,1
1328,DENOMS,1
1329,(,1
1330,K,1
1331,),1
1332,1-10-100,1
1333,SALE,1
1334,LIMITS,1
1335,US,4
1336,/,1
1337,UK,4
1338,/,1
1339,CA,4
1340,NEG,1
1341,PLG,1
1342,NO,1
1343,CRS,1
1344,DEFLT,1
1345,NO,1
1346,FORCE,1
1347,MAJ,1
1348,=,1
1349,GOV,1
1350,LAW,1
1351,GERMAN,2
1352,HOME,1
1353,CTRY,1
1354,=,1
1355,TAX,1
1356,PROVS,1
1357,STANDARD,1
1358,MGT,1
1359,/,1
1360,UND,1
1361,0.275,1
1362,SELL,1
1363,CONC,1
1364,1.60,1
1365,PRAECIP,1
1366,=,1
1367,UNDERLYING,1
1368,GOVT,1
1369,BOND,1
1370,7.0,1
1371,PCT,1
1372,SEPT,1
1373,2001,1
1374,NOTES,1
1375,BAYERISCHE,0
1376,VEREINSBANK,0
1377,IS,1
1378,JOINT,1
1379,LEAD,1
1380,MANAGER,1
1381,--,1
1382,London,0
1383,Newsroom,0
1384,+44,1
1385,171,1
1386,542,1
1387,7658,1
1388,-DOCSTART-,1
1389,Venantius,0
1390,sets,1
1391,$,1
1392,300,1
1393,million,1
1394,January,1
1395,1999,1
1396,FRN,1
1397,.,1
1398,LONDON,4
1399,1996-08-22,1
1400,The,1
1401,following,1
1402,floating-rate,1
1403,issue,1
1404,was,1
1405,announced,1
1406,by,1
1407,lead,1
1408,manager,1
1409,Lehman,0
1410,Brothers,0
1411,International,0
1412,.,1
1413,BORROWER,1
1414,VENANTIUS,0
1415,AB,0
1416,(,1
1417,SWEDISH,2
1418,NATIONAL,1
1419,MORTGAGE,1
1420,AGENCY,1
1421,),1
1422,AMT,1
1423,$,1
1424,300,1
1425,MLN,1
1426,SPREAD,1
1427,-,1
1428,12.5,1
1429,BP,1
1430,MATURITY,1
1431,21.JAN.99,1
1432,TYPE,1
1433,FRN,1
1434,BASE,1
1435,3M,0
1436,LIBOR,1
1437,PAY,1
1438,DATE,1
1439,S23.SEP.96,1
1440,LAST,1
1441,MOODY,1
1442,AA3,1
1443,ISS,1
1444,PRICE,1
1445,99.956,1
1446,FULL,1
1447,FEES,1
1448,10,1
1449,BP,1
1450,LAST,1
1451,S&P,0
1452,AA+,1
1453,REOFFER,1
1454,=,1
1455,NOTES,1
1456,S,1
1457,SHORT,1
1458,FIRST,1
1459,COUPON,1
1460,LISTING,1
1461,LONDON,4
1462,DENOMS,1
1463,(,1
1464,K,1
1465,),1
1466,1-10-100,1
1467,SALE,1
1468,LIMITS,1
1469,US,4
1470,/,1
1471,UK,4
1472,/,1
1473,JP,4
1474,/,1
1475,FR,4
1476,NEG,1
1477,PLG,1
1478,YES,1
1479,CRS,1
1480,DEFLT,1
1481,NO,1
1482,FORCE,1
1483,MAJ,1
1484,IPMA,1
1485,2,1
1486,GOV,1
1487,LAW,1
1488,ENGLISH,2
1489,HOME,1
1490,CTRY,1
1491,SWEDEN,4
1492,TAX,1
1493,PROVS,1
1494,STANDARD,1
1495,MGT,1
1496,/,1
1497,UND,1
1498,5,1
1499,BP,1
1500,SELL,1
1501,CONC,1
1502,5,1
1503,BP,1
1504,PRAECIP,1
1505,=,1
1506,NOTES,1
1507,ISSUED,1
1508,OFF,1
1509,EMTN,1
1510,PROGRAMME,1
1511,--,1
1512,London,0
1513,Newsroom,0
1514,+44,1
1515,171,1
1516,542,1
1517,8863,1
1518,-DOCSTART-,1
1519,Port,1
1520,conditions,1
1521,update,1
1522,-,1
1523,Syria,4
1524,-,1
1525,Lloyds,0
1526,Shipping,0
1527,.,1
1528,Port,1
1529,conditions,1
1530,from,1
1531,Lloyds,0
1532,Shipping,0
1533,Intelligence,0
1534,Service,0
1535,--,1
1536,LATTAKIA,4
1537,",",1
1538,Aug,1
1539,10,1
1540,-,1
1541,waiting,1
1542,time,1
1543,at,1
1544,Lattakia,4
1545,and,1
1546,Tartous,4
1547,presently,1
1548,24,1
1549,hours,1
1550,.,1
1551,-DOCSTART-,1
1552,Israel,4
1553,plays,1
1554,down,1
1555,fears,1
1556,of,1
1557,war,1
1558,with,1
1559,Syria,4
1560,.,1
1561,Colleen,3
1562,Siegel,3
1563,JERUSALEM,4
1564,1996-08-22,1
1565,Israel,4
1566,'s,1
1567,outgoing,1
1568,peace,1
1569,negotiator,1
1570,with,1
1571,Syria,4
1572,said,1
1573,on,1
1574,Thursday,1
1575,current,1
1576,tensions,1
1577,between,1
1578,the,1
1579,two,1
1580,countries,1
1581,appeared,1
1582,to,1
1583,be,1
1584,a,1
1585,storm,1
1586,in,1
1587,a,1
1588,teacup,1
1589,.,1
1590,Itamar,3
1591,Rabinovich,3
1592,",",1
1593,who,1
1594,as,1
1595,Israel,4
1596,'s,1
1597,ambassador,1
1598,to,1
1599,Washington,4
1600,conducted,1
1601,unfruitful,1
1602,negotiations,1
1603,with,1
1604,Syria,4
1605,",",1
1606,told,1
1607,Israel,0
1608,Radio,0
1609,it,1
1610,looked,1
1611,like,1
1612,Damascus,4
1613,wanted,1
1614,to,1
1615,talk,1
1616,rather,1
1617,than,1
1618,fight,1
1619,.,1
1620, ,5
1621,It,1
1622,appears,1
1623,to,1
1624,me,1
1625,the,1
1626,Syrian,2
1627,priority,1
1628,is,1
1629,still,1
1630,to,1
1631,negotiate,1
1632,.,1
1633,The,1
1634,Syrians,2
1635,are,1
1636,confused,1
1637,",",1
1638,they,1
1639,are,1
1640,definitely,1
1641,tense,1
1642,",",1
1643,but,1
1644,the,1
1645,general,1
1646,assessment,1
1647,here,1
1648,in,1
1649,Washington,4
1650,is,1
1651,that,1
1652,this,1
1653,is,1
1654,essentially,1
1655,a,1
1656,storm,1
1657,in,1
1658,a,1
1659,teacup,1
1660,",",1
1661, ,5
1662,he,1
1663,said,1
1664,.,1
1665,Rabinovich,3
1666,is,1
1667,winding,1
1668,up,1
1669,his,1
1670,term,1
1671,as,1
1672,ambassador,1
1673,.,1
1674,He,1
1675,will,1
1676,be,1
1677,replaced,1
1678,by,1
1679,Eliahu,3
1680,Ben-Elissar,3
1681,",",1
1682,a,1
1683,former,1
1684,Israeli,2
1685,envoy,1
1686,to,1
1687,Egypt,4
1688,and,1
1689,right-wing,1
1690,Likud,0
1691,party,1
1692,politician,1
1693,.,1
1694,Israel,4
1695,on,1
1696,Wednesday,1
1697,sent,1
1698,Syria,4
1699,a,1
1700,message,1
1701,",",1
1702,via,1
1703,Washington,4
1704,",",1
1705,saying,1
1706,it,1
1707,was,1
1708,committed,1
1709,to,1
1710,peace,1
1711,and,1
1712,wanted,1
1713,to,1
1714,open,1
1715,negotiations,1
1716,without,1
1717,preconditions,1
1718,.,1
1719,But,1
1720,it,1
1721,slammed,1
1722,Damascus,4
1723,for,1
1724,creating,1
1725,what,1
1726,it,1
1727,called,1
1728,a,1
1729,dangerous,1
1730,atmosphere,1
1731,.,1
1732,Syria,4
1733,accused,1
1734,Israel,4
1735,on,1
1736,Wednesday,1
1737,of,1
1738,launching,1
1739,a,1
1740,hysterical,1
1741,campaign,1
1742,against,1
1743,it,1
1744,after,1
1745,Israeli,2
1746,television,1
1747,reported,1
1748,that,1
1749,Damascus,4
1750,had,1
1751,recently,1
1752,test,1
1753,fired,1
1754,a,1
1755,missile,1
1756,.,1
1757,It,1
1758,said,1
1759,its,1
1760,arms,1
1761,purchases,1
1762,were,1
1763,for,1
1764,defensive,1
1765,purposes,1
1766,.,1
1767, ,5
1768,The,1
1769,message,1
1770,that,1
1771,we,1
1772,sent,1
1773,to,1
1774,(,1
1775,Syrian,2
1776,President,1
1777,Hafez,3
1778,al-,3
1779,),1
1780,Assad,3
1781,is,1
1782,that,1
1783,Israel,4
1784,is,1
1785,ready,1
1786,at,1
1787,any,1
1788,time,1
1789,without,1
1790,preconditions,1
1791,to,1
1792,enter,1
1793,peace,1
1794,negotiations,1
1795,",",1
1796, ,5
1797,Israeli,2
1798,Foreign,1
1799,Minister,1
1800,David,3
1801,Levy,3
1802,told,1
1803,Israel,0
1804,Radio,0
1805,in,1
1806,an,1
1807,interview,1
1808,.,1
1809,Tension,1
1810,has,1
1811,mounted,1
1812,since,1
1813,Israeli,2
1814,Prime,1
1815,Minister,1
1816,Benjamin,3
1817,Netanyahu,3
1818,took,1
1819,office,1
1820,in,1
1821,June,1
1822,vowing,1
1823,to,1
1824,retain,1
1825,the,1
1826,Golan,4
1827,Heights,4
1828,Israel,4
1829,captured,1
1830,from,1
1831,Syria,4
1832,in,1
1833,the,1
1834,1967,1
1835,Middle,4
1836,East,4
1837,war,1
1838,.,1
1839,Israeli-Syrian,2
1840,peace,1
1841,talks,1
1842,have,1
1843,been,1
1844,deadlocked,1
